Dấu thời gian,1. Please specify your age: ,2. Please select your gender:,3. Please select your College:,4. Please indicate your current Year of Study:,5. What is your GPA for the last semester?,6.  Are you currently employed (including part-time and internship)?,"7. On average, how many hours a day do you spend on entertainment/leisure/recreational activities? ","8. On average, how many hours do you spend self-studying a day?",9. Which of the following environments best describe your self-study location?,"10. On average, how many hours do you sleep a day?",11. To what extent do you agree with the following statements? [Frequent procrastination can have a negative impact on my long term learning process.],11. To what extent do you agree with the following statements? [I tend to procrastinate when deadlines are still far away.],11. To what extent do you agree with the following statements? [Creating a study plan help me reduce my procrastination],11. To what extent do you agree with the following statements? [I am confident in my ability to start a task early when necessary],11. To what extent do you agree with the following statements? [Starting a task early makes me feel uncomfortable and difficult to maintain over time.],"11. To what extent do you agree with the following statements? [To ensure data quality, please select the third option from the left.]",11. To what extent do you agree with the following statements? [Procrastination provide a sense of comfort or convenience.],11. To what extent do you agree with the following statements? [My peers consider procrastination to be quite normal.],11. To what extent do you agree with the following statements? [I have complete control over my procrastination habit.],11. To what extent do you agree with the following statements? [I plan to begin my tasks sooner starting next month.],11. To what extent do you agree with the following statements? [I often delay working on assignments until close to the deadline.],12. How often are you able to maintain a high level of focus throughout your self-study period? ,13. How often do you delay working on assignments for courses that you find uninteresting or unenjoyable? ,Who referred you to this survey?,What is your major,What is your major,4. Please indicate your current Year of Study:,5. What is your GPA for the last semester?,6.  Are you currently employed (including part-time and internship)?,"7. On average, how many hours a day do you spend on entertainment/leisure/recreational activities? ","8. On average, how many hours do you spend self-studying a day?",9. Which of the following environments best describe your self-study location?,"10. On average, how many hours do you sleep a day?",11. To what extent do you agree with the following statements? [Frequent procrastination can have a negative impact on my long term learning process.],11. To what extent do you agree with the following statements? [I tend to procrastinate when deadlines are still far away.],11. To what extent do you agree with the following statements? [Creating a study plan help me reduce my procrastination],11. To what extent do you agree with the following statements? [I am confident in my ability to start a task early when necessary],11. To what extent do you agree with the following statements? [Starting a task early makes me feel uncomfortable and difficult to maintain over time.],"11. To what extent do you agree with the following statements? [To ensure data quality, please select the third option from the left.]",11. To what extent do you agree with the following statements? [Procrastination provide a sense of comfort or convenience.],11. To what extent do you agree with the following statements? [My peers consider procrastination to be quite normal.],11. To what extent do you agree with the following statements? [I have complete control over my procrastination habit.],11. To what extent do you agree with the following statements? [I plan to begin my tasks sooner starting next month.],11. To what extent do you agree with the following statements? [I often delay working on assignments until close to the deadline.],12. How often are you able to maintain a high level of focus throughout your self-study period? ,13. How often do you delay working on assignments for courses that you find uninteresting or unenjoyable? ,Who referred you to this survey?
14/05/2026 9:52:39,18,Male,CECS (Engineering & Computer Science),1st Year,2.0 – 2.49,Yes,8,2,"Private space (i.e. bedroom, home office)",4,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,4,7,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:53:40,19,Female,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,4,6,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,3,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 9:55:27,19,Female,CECS (Engineering & Computer Science),1st Year,2.5 – 2.99,No,4,1,Collaborative space (i.e. group study room),5,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Agree,3,6,Nguyễn Hà My,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:01:30,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,3,4,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,5,5,"Đặng Tuấn Kiệt, Hỏa Thúy Quỳnh",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:02:27,18,Female,CBM (Business and Management),1st Year,3.5 – 4.0,No,3,3,"Private space (i.e. bedroom, home office)",9,Somewhat Disagree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Agree,5,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:02:38,18,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,3,8,Open learning space (i.e. university library),6,Strongly Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Disagree,6,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:02:50,19,Female,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,Yes,2,6,"Private space (i.e. bedroom, home office)",5,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,6,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:03:31,18,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,4,5,Open learning space (i.e. university library),4,Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,6,3,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:04:41,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,9,2,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,4,5,"Đặng Tuấn Kiệt, Lê Huy Tâm, Phan Minh Đức, Nguyễn Trọng Nhân",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:05:26,18,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,Yes,2,4,"Private space (i.e. bedroom, home office)",8,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:17:10,18,Male,CECS (Engineering & Computer Science),1st Year,2.5 – 2.99,No,0.5,10,Open learning space (i.e. university library),7.5,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,7,3,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:17:14,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,4,4,Open learning space (i.e. university library),7,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,5,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:17:48,21,Female,CECS (Engineering & Computer Science),2nd Year,3.0 – 3.49,No,8,3,"Private space (i.e. bedroom, home office)",5,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,4,5,Bill.,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:19:25,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,4,9,Collaborative space (i.e. group study room),5,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,4,2,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:20:17,19,Male,CECS (Engineering & Computer Science),2nd Year,3.0 – 3.49,No,2,9,"Private space (i.e. bedroom, home office)",6,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,5,1,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:20:26,18,Male,CECS (Engineering & Computer Science),1st Year,2.0 – 2.49,No,7,1,"Private space (i.e. bedroom, home office)",5,Neutral,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,4,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:20:46,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,3,4,"Private space (i.e. bedroom, home office)",6,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,4,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:25:24,20,Male,CECS (Engineering & Computer Science),2nd Year,3.0 – 3.49,No,5,3,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,4,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:26:07,19,Male,CBM (Business and Management),1st Year,3.0 – 3.49,No,3,2,"Private space (i.e. bedroom, home office)",7,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,2,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:27:52,19,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,Yes,2,12,Collaborative space (i.e. group study room),6,Agree,Neutral,Strongly Agree,Neutral,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Disagree,Disagree,6,4,"Đặng Tuấn Kiệt, Lê Huy Tâm",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:29:22,19,Female,CAS (Arts and Sciences),2nd Year,3.0 – 3.49,No,2,8,Open learning space (i.e. university library),6,Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,4,5,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:30:32,20,Male,CHS (Health Science),3rd Year,3.5 – 4.0,Yes,2,7,Cafes,5,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Agree,Somewhat Disagree,5,5,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:31:54,19,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,5,4,Open learning space (i.e. university library),7,Neutral,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,4,4,"Đặng Tuấn Kiệt, Lê Huy Tâm",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:33:31,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,2,7,Open learning space (i.e. university library),6,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,4,5,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:34:45,18,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,2,8,Open learning space (i.e. university library),6,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Agree,Strongly Agree,Neutral,Agree,Agree,5,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:36:01,18,Female,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,4,5,"Private space (i.e. bedroom, home office)",7,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Strongly Agree,Disagree,6,4,"Đặng Tuấn Kiệt, Lê Huy Tâm",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:38:44,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,8,3.5,"Private space (i.e. bedroom, home office)",7,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,4,6,"Đặng Tuấn Kiệt, Lê Huy Tâm, Phan Minh Đức",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:40:56,18,Male,CHS (Health Science),1st Year,3.0 – 3.49,No,5,5,"Private space (i.e. bedroom, home office)",7,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,4,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:42:09,19,Male,CBM (Business and Management),1st Year,3.0 – 3.49,No,10,3,"Private space (i.e. bedroom, home office)",5,Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,5,7,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:42:47,20,Male,CAS (Arts and Sciences),1st Year,3.5 – 4.0,No,.5,6,"Private space (i.e. bedroom, home office)",8,Strongly Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,5,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:44:20,20,Female,CBM (Business and Management),3rd Year,3.0 – 3.49,Yes,3,9,Collaborative space (i.e. group study room),5,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,6,3,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:44:27,20,Male,CECS (Engineering & Computer Science),2nd Year,3.5 – 4.0,Yes,2,1,Collaborative space (i.e. group study room),7,Agree,Strongly Agree,Neutral,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Neutral,Strongly Agree,5,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:46:08,18,Female,CAS (Arts and Sciences),1st Year,3.0 – 3.49,No,2,8,"Private space (i.e. bedroom, home office)",6,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,5,4,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:50:44,18,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,Yes,3,3,"Private space (i.e. bedroom, home office)",6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,5,5,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 10:56:02,20,Female,CECS (Engineering & Computer Science),2nd Year,3.5 – 4.0,No,4,8,"Private space (i.e. bedroom, home office)",7,Agree,Agree,Strongly Agree,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,5,3,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:17:03,21,Female,CBM (Business and Management),3rd Year,3.5 – 4.0,Yes,2,2,"Private space (i.e. bedroom, home office)",7,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Neutral,Agree,Somewhat Agree,6,4,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:19:40,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,4,4,Open learning space (i.e. university library),7,Neutral,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,2,2,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:19:57,19,Female,CECS (Engineering & Computer Science),2nd Year,3.5 – 4.0,Yes,4,5,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Disagree,5,2,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:20:07,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,4,3,"Private space (i.e. bedroom, home office)",8,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Agree,4,6,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:23:03,20,Male,CBM (Business and Management),2nd Year,3.5 – 4.0,No,3,4,"Private space (i.e. bedroom, home office)",8,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,5,6,"Đặng Tuấn Kiệt, Đỗ Vĩnh Nhi",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:23:46,19,Male,CAS (Arts and Sciences),1st Year,3.0 – 3.49,Yes,7,9,Open learning space (i.e. university library),6,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Disagree,6,3,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:24:33,19,Male,CHS (Health Science),1st Year,3.0 – 3.49,No,8,2,All above,6,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Disagree,Somewhat Disagree,Agree,4,6,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:26:52,18,Female,CHS (Health Science),1st Year,3.5 – 4.0,No,4,7,"Private space (i.e. bedroom, home office)",6,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,7,6,Đặng Tuấn Kiệt,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:27:33,20,Female,CAS (Arts and Sciences),2nd Year,3.0 – 3.49,Yes,3,6,Open learning space (i.e. university library),5,Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Agree,Somewhat Disagree,3,5,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:27:34,19,Female,CBM (Business and Management),1st Year,2.0 – 2.49,Yes,10,4,"Private space (i.e. bedroom, home office)",10,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Agree,4,5,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:28:07,18,Female,CHS (Health Science),1st Year,3.0 – 3.49,No,3,5,"Private space (i.e. bedroom, home office)",5,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,5,4,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:29:06,20,Male,CBM (Business and Management),2nd Year,3.5 – 4.0,Yes,3,4,"Private space (i.e. bedroom, home office)",8,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,6,3,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:29:24,19,Male,CAS (Arts and Sciences),1st Year,3.5 – 4.0,Yes,4,8,Collaborative space (i.e. group study room),6,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Strongly Agree,4,6,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:31:48,18,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,No,6,4,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Disagree,Somewhat Agree,Somewhat Agree,4,5,"Ong Quỳnh Trâm, Nguyễn Trọng Nhân",,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:32:21,20,Male,CECS (Engineering & Computer Science),2nd Year,3.5 – 4.0,Yes,4,7,"Private space (i.e. bedroom, home office)",5,Agree,Agree,Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,4,5,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:33:27,19,Female,CAS (Arts and Sciences),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:36:43,18,Female,CAS (Arts and Sciences),1st Year,3.0 – 3.49,No,2,7,Open learning space (i.e. university library),8,Somewhat Agree,Neutral,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,5,5,Đỗ Vĩnh Nhi,Engineer + Fundamental Science,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:37:25,18,Female,CAS (Arts and Sciences),1st Year,3.5 – 4.0,Yes,3,7,Open learning space (i.e. university library),9,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,4,5,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:39:23,19,Male,CBM (Business and Management),2nd Year,3.0 – 3.49,No,3,6,"Private space (i.e. bedroom, home office)",6,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,4,5,Đỗ Vĩnh Nhi,Engineer + Fundamental Science,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:40:10,18,Female,CAS (Arts and Sciences),1st Year,3.5 – 4.0,Yes,35,35,"Private space (i.e. bedroom, home office)",7,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,4,6,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:40:38,20,Female,CBM (Business and Management),3rd Year,3.0 – 3.49,Yes,4,8,Collaborative space (i.e. group study room),5,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,5,3,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:42:11,18,Female,CAS (Arts and Sciences),1st Year,3.0 – 3.49,No,2,7,"Private space (i.e. bedroom, home office)",6,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,5,3,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:46:05,19,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,3,4,"Private space (i.e. bedroom, home office)",6,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,4,6,Ong Quỳnh Trâm,Engineer + Fundamental Science,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:47:09,19,Female,CAS (Arts and Sciences),2nd Year,3.0 – 3.49,No,2,6,"Private space (i.e. bedroom, home office)",5,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,5,5,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:49:49,20,Female,CHS (Health Science),3rd Year,3.0 – 3.49,Yes,3,6,Open learning space (i.e. university library),5,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,5,4,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:53:23,20,Female,CBM (Business and Management),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:56:00,18,Male,CAS (Arts and Sciences),1st Year,3.0 – 3.49,Yes,2,7,Open learning space (i.e. university library),6,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,5,5,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:56:49,19,Male,CECS (Engineering & Computer Science),1st Year,3.0 – 3.49,No,4,3,"Private space (i.e. bedroom, home office)",7,Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,4,5,Phan Minh Đức,Engineer + Fundamental Science,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:57:07,19,Female,CBM (Business and Management),2nd Year,3.0 – 3.49,No,3,7,Open learning space (i.e. university library),6,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,5,3,Đỗ Vĩnh Nhi,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 11:58:20,19,Female,CBM (Business and Management),1st Year,2.0 – 2.49,No,10,3,Cafes,8,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,4,6,Nguyen Pham Quynh Tram,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 12:00:03,19,Female,CBM (Business and Management),1st Year,2.0 – 2.49,No,10,3,Cafes,8,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,4,6,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
14/05/2026 12:01:56,18,Female,CHS (Health Science),1st Year,3.0 – 3.49,No,5,10,"Private space (i.e. bedroom, home office)",7,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Disagree,4,3,Ong Quỳnh Trâm,,,,,,,,,,,,,,,,,,,,,,,
